time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 1000.761572, ACC
0.100000, 5.003808, 100.076157, 998.627533, ACC
0.200000, 20.004561, 199.938910, 998.855930, ACC
0.300000, 44.992732, 299.824503, 1000.508046, ACC
0.400000, 79.977723, 399.875308, 1002.218321, ACC
0.500000, 124.976345, 500.097140, 999.884731, ACC
0.600000, 179.985483, 600.085613, 998.703011, ACC
0.700000, 244.987559, 699.955914, 1001.537731, ACC
0.800000, 319.990839, 800.109687, 999.764526, ACC
0.900000, 405.000630, 900.086140, 1000.542874, ACC
1.000000, 500.011959, 1000.140427, 999.173275, ACC
1.100000, 605.021868, 1100.057755, 1000.720012, ACC
1.200000, 720.031244, 1200.129756, 999.563235, ACC
1.300000, 845.042035, 1300.086080, 1000.828043, ACC
1.400000, 980.054784, 1400.168884, 999.816785, ACC
1.500000, 1125.070756, 1500.150563, 1000.591257, ACC
1.600000, 1280.088768, 1600.209688, 999.933115, ACC
1.700000, 1445.109403, 1700.203000, 1001.105745, ACC
1.800000, 1620.135231, 1800.313574, 998.265639, ACC
1.900000, 1805.157917, 1900.140138, 999.213894, ACC
2.000000, 2000.168000, 2000.061527, 998.741244, ACC
2.100000, 2205.167859, 2099.935652, 1000.716808, ACC
2.200000, 2420.165009, 2200.007333, 999.521736, ACC
2.300000, 2645.163351, 2299.959506, 999.159272, ACC
2.400000, 2880.155098, 2399.875433, 999.842534, ACC
2.500000, 3125.141854, 2499.859687, 1001.327044, ACC
2.600000, 3380.134457, 2599.992391, 999.772180, ACC
2.700000, 3645.132557, 2699.969609, 1001.404214, ACC
2.800000, 3920.136539, 2800.110031, 999.756030, ACC
2.900000, 4205.146323, 2900.085634, 1001.281077, ACC
3.000000, 4500.161291, 3000.213741, 0.060500, CON
3.100000, 4800.182968, 3000.219791, 0.465826, CON
3.200000, 5100.207276, 3000.266374, -0.147225, CON
3.300000, 5400.233178, 3000.251651, 0.539092, CON
3.400000, 5700.261038, 3000.305561, -0.144758, CON
3.500000, 6000.290870, 3000.291085, 1.134154, CON
3.600000, 6300.325650, 3000.404500, -0.093856, CON
3.700000, 6600.365630, 3000.395115, 1.376313, CON
3.800000, 6900.412023, 3000.532746, 1.059957, CON
3.900000, 7200.470598, 3000.638742, 0.510771, CON
4.000000, 7500.537026, 3000.689819, -1.412917, CON
4.100000, 7800.598943, 3000.548527, -1.290731, CON
4.200000, 8100.647342, 3000.419454, 0.862712, CON
4.300000, 8400.693601, 3000.505725, 0.201913, CON
4.400000, 8700.745183, 3000.525916, 0.224258, CON
4.500000, 9000.798896, 3000.548342, -1.367785, CON
4.600000, 9300.846891, 3000.411564, 0.342311, CON
4.700000, 9600.889759, 3000.445795, -0.434959, CON
4.800000, 9900.932164, 3000.402299, -0.060528, CON
4.900000, 10200.972091, 3000.396246, -0.197776, CON
5.000000, 10501.010727, 3000.376468, -0.298783, CON
5.100000, 10801.046880, 3000.346590, 0.100984, CON
5.200000, 11101.082044, 3000.356689, -0.915366, CON
5.300000, 11401.113136, 3000.265152, 1.746211, CON
5.400000, 11701.148382, 3000.439773, -0.647999, CON
5.500000, 12001.189119, 3000.374973, -0.812858, CON
5.600000, 12301.222552, 3000.293687, -0.204043, CON
5.700000, 12601.250901, 3000.273283, -0.083428, CON
5.800000, 12901.277812, 3000.264940, 0.998530, CON
5.900000, 13201.309299, 3000.364793, -0.767194, CON
6.000000, 13501.341942, 3000.288074, -0.641100, CON
6.100000, 13801.367544, 3000.223964, -0.649176, CON
6.200000, 14101.386694, 3000.159046, 0.958176, CON
6.300000, 14401.407390, 3000.254864, 2.886783, CON
6.400000, 14701.447310, 3000.543542, 0.575334, CON
6.500000, 15001.504541, 3000.601075, 1.113824, CON
